"date_of_meeting"	"type_of_meeting"	"scanned_minutes_file"	"scanned_minutes_page"	"case_ids"	"text"	"year"	"month"	"day"
"24"	1944-08-24	"closed"	"19440824B_81.pdf"	6	"717-1944"	"Borgmesteren oplyste, at der var gjort Regreskrav gældende overfor Tyskerne, men det var ikke givet, man fik noget ud af det.
Overgik til 2. Behandling.
"	1944	8	24
"25"	1944-08-24	"closed"	"19440824B_81.pdf"	6	"107-1944"	"Bevilling af 190.000 Kr. til Ekspropriation m. v. af Østergade 5, idet Beløbet afholdes ved Laan. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
"26"	1944-08-24	"closed"	"19440824B_81.pdf"	6	"313-1944"	"Overenskomst med Kæmner A. Brendstrup og fhv. Overassistent E. Redsted angaaende Kommunens Overtagelse af Ejendommen Volden 32 og Graven 29.
Godkendtes.
"	1944	8	24
"27"	1944-08-24	"closed"	"19440824B_81.pdf"	6	"22_20-1944"	"Godkendelse af 5 betingede Skøder med Murermester Anker Jacobsen og Tømrermester H. Bromann angaaende Grunde ved Egebæksvej.
Godkendtes.
"	1944	8	24
"28"	1944-08-24	"closed"	"19440824B_81.pdf"	6	"779-1944"	"Indstilling om Bevilling af 7.425 Kr. til Anskaffelse af en dampdrevet Aflusningsovn.
Der forelaa Forslag om, at Ovnen leveres af Firmaet Meier-Jæger, og at Beløbet afholdes som Tillægsbevilling paa Medicinalvæsenets Konto.
Borgmesteren havde faaet Henstilling fra Ministeriet om at indrette en saadan Anstalt, idet Krigen maaske snart var forbi, og der vilde da komme mange Arbejdere og andre til Aarhus, som skulde benytte denne. Taleren hævdede, at det maatte være en Statsopgave, men gik med til at lave det foreløbig, idet der saa senere skulde forhandles om Udgiften dertil. Der var foreslaaet at benytte Svømmehallen eller bygge en Barak ved Havnen, men det var Taleren gaaet imod. Ved nærmere Undersøgelse havde
"	1944	8	24
"29"	1944-08-24	"closed"	"19440824B_81.pdf"	7	"779-1944"	"det vist sig, at det kunde indrettes næsten uden Udgift ved en af Skolerne, og det foreslog man nu.
Oluf Nielsen oplyste, at Sagen var behandlet i Sundhedskommissionen, og her hævdede Amtslægen, at det var absolut nødvendigt at bygge Barakker hertil.
Borgmesteren svarede, at Amtslægen senere var gaaet fra dette. Men Kommunen havde egentlig en Slags Pligt til at indrette noget, fordi man havde nedlagt Epidemiafdelingen paa Marselisborg Hospital. Der kunde være Tale om, at Havnen burde betale det, men det Spørgsmaal kunde udskydes, til man saa, hvad Staten vil yde dertil.
Overgik til 2. Behandling.
"	1944	8	24
"30"	1944-08-24	"closed"	"19440824B_81.pdf"	7	"658-1944"	"Redegørelse fra Udvalget for frivillig Hjælp under Epidemier over, hvad Udvalget hidtil har foretaget samt Forslag om, at der for Tiden ikke foretages yderligere.
Tiltraadtes.
"	1944	8	24
"31"	1944-08-24	"closed"	"19440824B_81.pdf"	7	"1296-1943"	"Indstilling fra Budgetudvalget om, at Arbejdet med en Kaproningsbane paa Brabrand Sø optages blandt Kommunens Beredskabsarbejder.
Udvalget indstiller, at Projektet optages blandt Kommunens Beredskabsarbejder, dog paa Betingelse af, at Staten frafalder Kravet om, at Kommunen skal deltage med 25 % af Totaludgiften, samt at Staten bevilger det store Tilskud (150 % i Stedet for 120 % af Arbejdslønnen) til Arbejdet.
Borgmesteren anbefalede Indstillingen. Man vilde søge at presse Staten op paa det mest mulige, saa det ikke bliver særlig dyrt for Kommunen. Det kunde blive en god Foranstaltning
"	1944	8	24
"32"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"1296-1943"	"sammen med den paatænkte Sti omkring Brabrand Sø.
Indstillingen vedtoges.
"	1944	8	24
"33"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"74-1944"	"Andragende fra Kaj Løntoft om Bevilling til Stadepladser for Kaffevogne.
Bevillingsnævnet kan for Tiden ikke anbefale Andragendet.
Kunde ikke bevilges.
"	1944	8	24
"34"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"33_26-1944"	"Indstilling fra Vejteknisk Udvalg om, at Afdelingsingeniør E. Rosenstand under Stadsingeniørens Fraværelse indtil videre konstitueres som Stadsingeniør.
Johanne Berg anmodede om at faa Sagen udsat.
Udsattes.
"	1944	8	24
"35"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"33_27-1944"	"Indstilling fra Vandværksudvalget om, at Afdelingsingeniør E. Frederiksen under Stadsingeniørens Fraværelse indtil videre konstitueres som Leder af Vandværket.
Indstillingen vedtoges.
"	1944	8	24
"36"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"33_25-1944"	"Indstilling fra Socialudvalget om, at Fuldmægtig Hall Nielsen konstitueres som Ekspeditionssekretær og Overassistent Poul Hansen som Fuldmægtig paa Socialkontoret.
Tiltraadt af Lønudvalget.
Indstillingen vedtoges.
"	1944	8	24
"37"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"823-1944"	"Andragende fra Kontorassistent ved Socialkontoret K. J. F. Paludan om fuld Løn under Sygdom i indtil 6 Maaneder.
Anbefalet af Socialudvalget og Lønudvalget.
Bevilgedes.
"	1944	8	24
"38"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"29_4-1944"	"Andragende fra Arbejdsmand ved Belysningsvæsenet J. M. R. Hansen om Afsked med Pension.
Bevilgedes. Pensionen fastsattes til 2.145 Kr.
"	1944	8	24
"39"	1944-08-24	"closed"	"19440824B_81.pdf"	8	"29_5-1944"	"Andragende fra Retorthusarbejder S. Bøgh Sørensen
"	1944	8	24
"40"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"29_5-1944"	"om Afsked med Pension.
Bevilgedes. Pensionen fastsattes til 2220 Kr.
"	1944	8	24
"41"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"822-1944"	"Indstilling om Bevilling af Pension til fhv. Politiassistent A G. Hauerbachs Enke.
Pensionen fastsattes til 1.000 Kr. aarlig.
"	1944	8	24
"42"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"550-1944"	"Indstilling fra Skoleudvalget om, at Understøttelserne til de fhv. Rengøringskvinder Marie Hansen, Anna E. Holst og Ane M. Svendsen forhøjes fra 100 Kr. til 150 Kr.
Tiltraadt af Lønudvalget.
Indstillingen vedtoges.
"	1944	8	24
"43"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"729-1944"	"Indstilling fra Skoleudvalget om Bevilling af Understøttelse til fhv. Rengøringskvinde Rasmine Jensen.
150 Kr. bevilgedes.
"	1944	8	24
"44"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"531-1944"	"Indstilling fra Skoleudvalget om Bevilling af Understøttelse til fhv. Rengøringskvinde Vilhelmine Nielsen.
100 Kr. bevilgedes.
"	1944	8	24
"45"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"727-1944"	"Indstilling fra Skoleudvalget om Bevilling af Understøttelse til fhv. Rengøringskvinde Nielsine Laursen.
150 Kr. bevilgedes.
"	1944	8	24
"46"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"689-1944"	"Forslag fra Landsretssagfører Bjøreng om, at der udmeldes en Revisor til at revidere Anthon Sørensen og Hustruers Legat.
Socialudvalget foreslaar at overdrage Revisionen til Revisor Lesner mod et Honorar paa 200 Kr.
Tiltraadtes.
"	1944	8	24
"47"	1944-08-24	"closed"	"19440824B_81.pdf"	9	"32_2-1944"	"Indstilling fra Socialudvalget om, at S. J. Sørensen Høj anbringes i Arbejdsanstalten i 3 Maaneder.
Tiltraadtes.
"	1944	8	24
"48"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"16_15-1944 og 16_16-1944"	"Indstilling fra Socialudvalget om, at Kommunehjælp ydet 14 nærmere angivne Personer ikke skal have valgretsfortabende Virkning.
Indstillingen vedtoges.
"	1944	8	24
"49"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"16_17-1944"	"Indstilling fra Socialudvalget om Ydelse af Kommunehjælp til en Person i H. t. Forsorgslovens § 293.
Indstillingen vedtoges.
"	1944	8	24
"50"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"12_3-1944 og 12_4-1944 og 12_5-1944"	"Indstilling fra Socialudvalget om personligt Tillæg til Rentenydere.
Indstillingen vedtoges.
"	1944	8	24
"51"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"12_4-1944"	"Indstilling fra Socialudvalget om Bevilling af Huslejetilskud til en Aldersrentenyder.
Indstillingen vedtoges.
"	1944	8	24
"52"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"17_15-1944"	"Indstilling fra Socialudvalget om Eftergivelse af Hjælp ydet 6 nærmere angivne Personer.
Indstillingen vedtoges.
"	1944	8	24
"53"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"17_14-1944 og 17_16-1944 og 17_18-1944 og 17_17-1944"	"Indstilling fra Socialudvalget om Eftergivelse af
Hjælp ydet til:
a.(J.Nr.17_14-1944).Chr. S. Vestergaard.
b.(J.Nr.17_16-1944).H. Bøgh Sørensen.
c.(J.Nr.17_18- 1944).Poul F. R. Nielsen.
d.(J.Nr.17_17-1944).Hansine K. Jensen.
I. C. Sørensen fandt det mærkeligt at eftergive Hjælpen til Poul Nielsen, som sidste Aar havde tjent 13.000 Kr.
Chr. Nielsen oplyste, at han skyldte 2.400 Kr. og tilbød at betale 1.600 Kr., og hvis man ikke tog derimod, fik man maaske senere slet intet.
Indstillingen vedtoges.
"	1944	8	24
"54"	1944-08-24	"closed"	"19440824B_81.pdf"	10	"99_2-1944"	"Andragende fra Murermester Harald Andersen om at maatte overtage Tømrermester P. B. Kjeldsens
"	1944	8	24
"55"	1944-08-24	"closed"	"19440824B_81.pdf"	11	"99_2-1944"	"Statslaan i Ejendommen Nordborggade 14.
Anbefaledes.
"	1944	8	24
"56"	1944-08-24	"closed"	"19440824B_81.pdf"	11	"826-1944"	"Licitationstilbud paa Opførelse af Kiosk med Nødtørftshus ved Marienlund.
J. R. Fanger vidste ikke, om man kan bygge Huset nu. Der var selvfølgelig Brug for en Nødtørftsanstalt, men ikke for en Ventesal da man ikke mere havde Sporvogne, saa det var maaske rigtigst at stille Sagen i Bero.
Borgmesteren var enig med Hr. Fanger heri. Hvis man igen fik Sporvogne, vilde Linien sikkert blive forlænget til Enden af Riis Skov, og muligvis vilde man bygge Remise der, saa var der ingen Brug for Vagtstue ved Marienlund. Maaske var der Brug for en Nødtørftsanstalt ved Marienlund, men man burde vist foreløbig henlægge Sagen.
H. P. Jensen var meget glad ved Forslaget om en Nødtørftsanstalt her, idet den vilde afhjælpe et stort Savn for Skoven. Muligvis var Tiden ikke inde dertil paa Grund af Forholdene, men forhaabentlig kunde Sagen senere tages op.
Oluf Nielsen antog, at Overenskomsten med Kioskselskabet maa falde bort, hvis der ikke bliver Endestation ved Marienlund, for saa var Selskabet næppe interesseret deri, og i saa Fald maatte hele Projektet laves om. Maaske kunde der laves en lille Nødtørftsanstalt inde i Skoven.
Sagen gik tilbage til Udvalget.
"	1944	8	24
"57"	1944-08-24	"open"	"19440824_67.pdf"	1	"no related record"	"Mødet den 24. August 1944.
Fraværende: Esther Aggebo, Bernhard Jensen, K. Mousten og Sigvald Nielsen.
Borgmesteren bød Medlemmerne velkommen til det første Møde efter Ferien med Ønsket om, at alle møder med Energi og Lyst til at tage fat paa Opgaverne i den kommende Tid.
I Ferien var der i Aarhus sket en Række Katastrofer af forskellig Art, og af disse havde to været af særlig alvorlig Karakter. Den første foregik den 4. Juli ved Havnen, hvor et Ammunitionslager eksploderede med forfærdende Virkning. Det alvorligste var, at det kostede 33 Danske Livet foruden flere Hundrede saarede, og 12 af de dræbte kunde overhovedet ikke indentificeres. Tilbage sad nu Enker og Børn og andre Paarørende, og Taleren havde paa Byraadets Vegne udtalt Medfølelse overfor dem og ydet dem den Støtte, som Byraadet straks efter Katastrofen havde vedtaget at yde. Man forstod den Sorg, som var skabt i disse Hjem og følte med dem, som havde lidt ved Katastrofen.
Den 22. August skete en ny Katastrofe af større Omfang end sædvanligt, nemlig Sabotage
"	1944	8	24
"58"	1944-08-24	"open"	"19440824_67.pdf"	2	"no related record"	"mod Sporvejene, hvorved 25 Hovedvogne og 21 Bivogne samt 14 Trambusser blev fuldstændig ødelagt, og der blev kun reddet 1 Bivogn og 4 Trambusser. I Garagen ved Silkeborgvej fandtes 22 Trambusser, hvoraf dog et Par var ubrugelige. 17 af dem var forsynet med Generator, og det kunde maaske ske for de 3 øvrige, hvorved der blev 20 brugelige. Ved Sprængningen og den dermed følgende Brand ødelagdes ogsaa Sporvognsremisen med Værktøj, Maskiner, Lager o.s. v. Sporvejsudvalget samledes straks om Morgenen for at besigtige Skaden og drøfte, hvad der kunde gøres for at faa Trafikken i Gang. Sporvogne kunde ikke faas her i Landet, og det var meget vanskeligt at skaffe Materiel andetsteds fra. Der var fort mange Forhandlinger med Institutioner og Enkeltpersoner, og der blev gjort alt for at faa en Kørsel etableret i Byen. Linien fra Riisskov var forlænget til Østbanegaarden; man vilde forsøge at gennemføre Ruter fra Remisen og Kongsvang til Banegaarden, og der vilde blive forsøgt at føre en Linie gennem Byen til Marienlund og Christiansbjerg. Der blev endnu mange Forhandlinger at føre, men der vilde blive gjort alt for at faa en nødtørftig Trafik gennem Byen.
Attentatet mod Sporvejene var af en saadan Beskaffenhed, at man med Afsky maatte vende sig derfra, og man kunde vist rolig sige, at det ikke er lavet af gode danske Mænd, men af Forbrydere og Gangstere. Forhaabentlig kunde man blive forskaanet for altfor mange Ulykker af den Art, og det var ønskeligt, at Freden snart maatte komme, saa man her i Landet igen kunde faa Lov til frit at udøve Dagens Gerning.
"	1944	8	24
"59"	1944-08-24	"open"	"19440824_67.pdf"	3	"22_11-1944 og 22_10-1944 og 22_9-1944 og 11_8-1944 og 11_7-1944 og 22_7-1944 og 22_6-1944 og 22_8-1944 og 22_2-1944 og 11_5-1944 og 22_5-1944 og 11_6-1944 og 11_1-1944 og 22_15-1944 og 22_16-1944 og 22_13-1944 og 11_11-1944 og 11_12-1944 og 11_13-1944 og 11_9-1944 og 11_10-1944 og 22_12-1944 og 147-1944"	"Indenrigsministeriets Godkendelse af Købekontrakter med:
a.(J. Nr. 22_11-1944). Maskinarbejder C. V. Jørgensen.
b.(J. Nr. 22_10-1944). Repræsentant M. Andreasen.
c.(J. Nr. 22_9-1944). Adjunkt V. Pedersen.
d.(J. Nr. 11_8 -1944). Enkefru A. F. Jensen.
e.(J. Nr. 11_7-1944). Lærerinde K. M. Jensen.
f.(J. Nr. 22_7-1944). Gasmester Chr. Johansen.
g.(J.Nr.22_6-1944).Samme.
h.(J.Nr.22_8-1944).Cyklehandler J.Pedersen.
i.(J.Nr.22_2-1944).Konstruktør A. E. Iversen,
j. (J.Nr.11_5-1944).Forvalter B.V. Olsen.
k. (J.Nr.22_5-1944).Murermester H.Andersen.
l.(J. Nr. 11_6-1944). Arbejdsmand S. Degn. 
m. (J. Nr. 11_1-1944). Skræder K. E. Pedersen, 
n. (J. Nr. 22_15-1944. Arkitekt Salling Mortensen,
o.(J. Nr. 22_16-1944). Tømrermester P. B. Kjeldsen, 
p. (J. Nr. 22_13-1944). Samme, 
q. (J. Nr. 11_11-1944). Tømrermester R. Nielsen, 
r. (J. Nr. 11_12- 1944). Fru M. K. Oehlerich. 
s. (J. Nr. 11_13-1944). Snedker C. J. Sørensen, 
t. (J. Nr. 11_9-1944). Tømrermester Kirk Mikkelsen, 
u. (J. Nr. 11_10-1944). Viggo Nielsen, 
v. (J. Nr. 22_12-1944). Automobilforhandler M. M. Hansen og M. P. Hansen, 
x. (J. Nr. 147-1944). Kvindehjælpen i Aarhus. Toges til Efterretning.
"	1944	8	24
"60"	1944-08-24	"open"	"19440824_67.pdf"	3	"393-1944"	"Indenrigsministeriets Godkendelse af Forhøjelse af Taksten for Befordring til Hospitalerne i disses Vogne.
Toges til Efterretning.
"	1944	8	24
"61"	1944-08-24	"open"	"19440824_67.pdf"	3	"418-1944"	"Indenrigsministeriets Godkendelse af, at der oprettes en kommunal Klinik for Patienter med veneriske Sygdomme.
Toges til Efterretning.
"	1944	8	24
"62"	1944-08-24	"open"	"19440824_67.pdf"	4	"99_6-1944"	"Meddelelse fra Indenrigsministeriet om Bevilling af Statslaan til Bagermester C. Trier Hansen til en Beboelsesbygning ved Fuglebakkevej.
Toges til Efterretning.
"	1944	8	24
"63"	1944-08-24	"open"	"19440824_67.pdf"	4	"99_5-1944"	"Meddelelse fra Indenrigsministeriet om Bevilling af Statslaan til Gasmester Chr. Johansen til en Beboelsesbygning ved Haderslevgade.
Toges til Efterretning.
"	1944	8	24
"64"	1944-08-24	"open"	"19440824_67.pdf"	4	"99_2-1944"	"Indenrigsministeriets Samtykke til, at Murermester Har. Andersen indtræder som Laantager for det til Tømrermester P. B. Kjeldsen bevilgede Statslaan til en Beboelsesbygning Nordborggade 14.
Toges til Efterretning.
"	1944	8	24
"65"	1944-08-24	"open"	"19440824_67.pdf"	4	"532-1944"	"Skrivelse fra Ministeriet for offentlige Arbejder om Ændring i Havne- og Brotaksten for Aarhus Havn.
Toges til Efterretning.
"	1944	8	24
"66"	1944-08-24	"open"	"19440824_67.pdf"	4	"277-1944"	"Skrivelse fra Trafikministeriet om Fornyelse af den Kommunen meddelte Eneretsbevilling paa Anlæg og Drift af Sporvejene.
Toges til Efterretning.
"	1944	8	24
"67"	1944-08-24	"open"	"19440824_67.pdf"	4	"521-1944"	"Meddelelse fra Undervisningsministeriet om, at Lærer Niels Ribergaard bevilges Afsked med Pension fra 31/8 1944.
Toges til Efterretning.
"	1944	8	24
"68"	1944-08-24	"open"	"19440824_67.pdf"	4	"268-1944"	"Meddelelse fra Undervisningsministeriet om, at Lærerinde Fru Inga Nilsson bevilges Afsked fra 31/8 1944.
Toges til Efterretning.
"	1944	8	24
"69"	1944-08-24	"open"	"19440824_67.pdf"	4	"512-1944"	"Kirkeministeriets Samtykke til, at der anbringes cementerede Dækningsgrave paa Søndre Kirkegaard.
Toges til Efterretning.
"	1944	8	24
"70"	1944-08-24	"open"	"19440824_67.pdf"	5	"574-1944 og 575-1944"	"Skrivelse fra Arbejdsministeriet med Vilkaar for Godkendelse af Projekterne \"Omlægning af private Veje\" og \"Anlæg af et Stykke af Marselis Boulevard\" som Beredskabsarbejder.
Vedtaget ved Cirkulation.
"	1944	8	24
"71"	1944-08-24	"open"	"19440824_67.pdf"	5	"428-1944"	"Meddelelse fra Købstædernes alm. Brandforsikring om Tilskud paa 9.000 Kr. til et Radio- og Kommandoanlæg til Brandvæsenet.
Toges til Efterretning.
"	1944	8	24
"72"	1944-08-24	"open"	"19440824_67.pdf"	5	"756-1944"	"Meddelelse fra Hads-Ning Herreders Jernbane om Afholdelse af Generalforsamling den 23. August.
H.P. Jensen og Ejner Mikkelsen valgtes til Repræsentanter.
"	1944	8	24
"73"	1944-08-24	"open"	"19440824_67.pdf"	5	"772-1944"	"Meddelelse fra Gudenaacentralen om Afholdelse af Generalforsamling den 26.August.
Belysningsudvalget valgtes til Repræsentanter.
"	1944	8	24
"74"	1944-08-24	"open"	"19440824_67.pdf"	5	"23_7-1944"	"Regnskab for Aarhus Idrætspark samt Budgetforslag for 1944- 45.
Toges til Efterretning.
"	1944	8	24
"75"	1944-08-24	"open"	"19440824_67.pdf"	5	"579-1944"	"Tillægsbevillinger paa 10.124,66 Kr. paa Forsørgelsesvæsenets Konti for 1943- 44. - 2. Behandling.
Indstillingen vedtoges.
"	1944	8	24
